id,symbol,name,current_price,market_cap,total_volume,price_change_percentage_24hs,market_cap_change_percentage_24hs,last_updated
tether,usdt,Tether,0.998497,186057704447,81849677089,-0.01354,-0.06138,2026-01-29T09:45:43.123Z
bitcoin,btc,Bitcoin,87882.0,1755856849293,49753100134,-1.49312,-1.50747,2026-01-29T09:45:42.251Z
ethereum,eth,Ethereum,2944.92,355437995509,24924049249,-2.05188,-2.038,2026-01-29T09:45:42.326Z
usd-coin,usdc,USDC,0.999707,71063033091,6371781660,0.00652,-0.63739,2026-01-29T09:45:42.891Z
solana,sol,Solana,123.0,69638518602,4070583501,-3.15991,-3.08723,2026-01-29T09:45:36.798Z
ripple,xrp,XRP,1.87,113880771496,2876824034,-2.39011,-2.39769,2026-01-29T09:45:40.991Z
usd1-wlfi,usd1,USD1,0.999658,5058257853,1738303817,-0.03286,1.97068,2026-01-29T09:45:41.668Z
wrapped-solana,sol,Wrapped SOL,123.02,1541646213,1507535070,-3.20068,-1.7824,2026-01-29T09:45:38.971Z
binancecoin,bnb,BNB,903.08,123164835197,1479919054,-0.18228,-0.1714,2026-01-29T09:45:42.366Z
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),0.998403,8973196802,1273789906,0.08943,0.09532,2026-01-29T09:45:39.952Z
dogecoin,doge,Dogecoin,0.121655,20500306736,1145777829,-3.60935,-3.66196,2026-01-29T09:45:42.106Z
pax-gold,paxg,PAX Gold,5546.33,2322012448,1095887314,4.87419,5.47001,2026-01-29T09:45:41.292Z
fogo,fogo,Fogo,0.03663783,136637845,893441504,-13.84212,-14.80315,2026-01-29T09:45:35.222Z
tether-gold,xaut,Tether Gold,5532.43,2876237907,844242126,4.88107,4.77657,2026-01-29T09:45:43.684Z
hyperliquid,hype,Hyperliquid,32.37,7716881736,705866580,-5.43643,-5.19678,2026-01-29T09:45:40.205Z
l2-standard-bridged-weth-base,weth,L2 Standard Bridged WETH (Base),2945.34,643729455,692541656,-2.06607,0.6329,2026-01-29T09:45:43.785Z
worldcoin-wld,wld,Worldcoin,0.496999,1378688322,684052756,6.89859,7.00693,2026-01-29T09:45:43.473Z
tron,trx,TRON,0.294628,27906855618,650513030,0.96633,0.96529,2026-01-29T09:45:41.359Z
sui,sui,Sui,1.37,5183687970,584602376,-4.45762,-4.25408,2026-01-29T09:45:41.650Z
first-digital-usd,fdusd,First Digital USD,0.997899,464178396,510716600,-0.04281,-2.64755,2026-01-29T09:45:37.692Z
